"kol","lnk","gosp","gosc","frek","nFrek"
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,lechia-gdansk,1650175.html","WIS£A P£OCK S.A.","LECHIA GDAÑSK","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,wisla-krakow-sa,1650176.html","POGOÑ SZCZECIN","WIS£A KRAKÓW SA","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,gks-piast-gliwice-s-a,1650177.html","CRACOVIA SSA KRAKÓW","GKS PIAST GLIWICE S.A.","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,legia-warszawa-s-a,1650178.html","GÓRNIK ZABRZE SSA","LEGIA WARSZAWA S.A.","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,slask-wroclaw,1650179.html","ARKA GDYNIA SSA","ŒL¥SK WROC£AW","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,jagiellonia-bialystok-ssa,1650180.html","BRUK-BET TERMALICA NIECIECZA","JAGIELLONIA BIA£YSTOK SSA","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,sandecja-nowy-sacz,1650181.html","KKS LECH POZNAÑ","SANDECJA NOWY S¥CZ","Brak danych na temat widowni",NA
1,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,zaglebie-lubin,1650182.html","KORONA SA KIELCE","ZAG£ÊBIE LUBIN","Brak danych na temat widowni",NA
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,arka-gdynia-ssa,1650183.html","SANDECJA NOWY S¥CZ","ARKA GDYNIA SSA","Mecz ogl¹da³o 2646 osób","2646"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,bruk-bet-termalica-nieciecza,1650184.html","WIS£A KRAKÓW SA","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 11811 osób","11811"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,pogon-szczecin,1650185.html","GKS PIAST GLIWICE S.A.","POGOÑ SZCZECIN","Mecz ogl¹da³o 4555 osób","4555"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,cracovia-ssa-krakow,1650186.html","LECHIA GDAÑSK","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 15624 osób","15624"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,korona-sa-kielce,1650187.html","LEGIA WARSZAWA S.A.","KORONA SA KIELCE","Mecz ogl¹da³o 15011 osób","15011"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,kks-lech-poznan,1650188.html","WIS£A P£OCK S.A.","KKS LECH POZNAÑ","Mecz ogl¹da³o 6511 osób","6511"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,gornik-zabrze-ssa,1650189.html","JAGIELLONIA BIA£YSTOK SSA","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 11326 osób","11326"
2,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,slask-wroclaw,1650190.html","ZAG£ÊBIE LUBIN","ŒL¥SK WROC£AW","Mecz ogl¹da³o 8251 osób","8251"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,zaglebie-lubin,1650191.html","BRUK-BET TERMALICA NIECIECZA","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 3113 osób","3113"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,lechia-gdansk,1650192.html","ŒL¥SK WROC£AW","LECHIA GDAÑSK","Mecz ogl¹da³o 13495 osób","13495"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,sandecja-nowy-sacz,1650194.html","LEGIA WARSZAWA S.A.","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 14397 osób","14397"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,wisla-krakow-sa,1650193.html","GÓRNIK ZABRZE SSA","WIS£A KRAKÓW SA","Mecz ogl¹da³o 22708 osób","22708"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,wisla-plock-s-a,1650195.html","ARKA GDYNIA SSA","WIS£A P£OCK S.A.","Mecz ogl¹da³o 8142 osób","8142"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,jagiellonia-bialystok-ssa,1650196.html","POGOÑ SZCZECIN","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 8356 osób","8356"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,gks-piast-gliwice-s-a,1650197.html","KKS LECH POZNAÑ","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 13783 osób","13783"
3,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,cracovia-ssa-krakow,1650198.html","KORONA SA KIELCE","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 7270 osób","7270"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,slask-wroclaw,1650205.html","GKS PIAST GLIWICE S.A.","ŒL¥SK WROC£AW","Mecz ogl¹da³o 4274 osób","4274"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,wisla-krakow-sa,1650206.html","WIS£A P£OCK S.A.","WIS£A KRAKÓW SA","Mecz ogl¹da³o 5001 osób","5001"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,gornik-zabrze-ssa,1650204.html","LECHIA GDAÑSK","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 14567 osób","14567"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,pogon-szczecin,1650203.html","ZAG£ÊBIE LUBIN","POGOÑ SZCZECIN","Mecz ogl¹da³o 6086 osób","6086"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,legia-warszawa-s-a,1650200.html","BRUK-BET TERMALICA NIECIECZA","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 4561 osób","4561"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,sandecja-nowy-sacz,1650202.html","JAGIELLONIA BIA£YSTOK SSA","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 11399 osób","11399"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,kks-lech-poznan,1650201.html","CRACOVIA SSA KRAKÓW","KKS LECH POZNAÑ","Mecz ogl¹da³o 9114 osób","9114"
4,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,korona-sa-kielce,1650199.html","ARKA GDYNIA SSA","KORONA SA KIELCE","Brak danych na temat widowni",NA
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,gks-piast-gliwice-s-a,1650210.html","LEGIA WARSZAWA S.A.","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 13768 osób","13768"
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,wisla-plock-s-a,1650212.html","SANDECJA NOWY S¥CZ","WIS£A P£OCK S.A.","Mecz ogl¹da³o 2070 osób","2070"
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,zaglebie-lubin,1650209.html","KKS LECH POZNAÑ","ZAG£ÊBIE LUBIN","Brak danych na temat widowni",NA
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,cracovia-ssa-krakow,1650213.html","WIS£A KRAKÓW SA","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 25523 osób","25523"
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,arka-gdynia-ssa,1650207.html","GÓRNIK ZABRZE SSA","ARKA GDYNIA SSA","Brak danych na temat widowni",NA
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,jagiellonia-bialystok-ssa,1650208.html","KORONA SA KIELCE","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 9460 osób","9460"
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,lechia-gdansk,1650211.html","POGOÑ SZCZECIN","LECHIA GDAÑSK","Mecz ogl¹da³o 8320 osób","8320"
5,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,bruk-bet-termalica-nieciecza,1650214.html","ŒL¥SK WROC£AW","BRUK-BET TERMALICA NIECIECZA","Brak danych na temat widowni",NA
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,sandecja-nowy-sacz,1650220.html","LECHIA GDAÑSK","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 11019 osób","11019"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,gornik-zabrze-ssa,1650217.html","CRACOVIA SSA KRAKÓW","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 8346 osób","8346"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,pogon-szczecin,1650215.html","ARKA GDYNIA SSA","POGOÑ SZCZECIN","Mecz ogl¹da³o 9074 osób","9074"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,korona-sa-kielce,1650221.html","GKS PIAST GLIWICE S.A.","KORONA SA KIELCE","Mecz ogl¹da³o 4879 osób","4879"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,slask-wroclaw,1650218.html","JAGIELLONIA BIA£YSTOK SSA","ŒL¥SK WROC£AW","Mecz ogl¹da³o 10437 osób","10437"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,legia-warszawa-s-a,1650222.html","WIS£A P£OCK S.A.","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 9718 osób","9718"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,kks-lech-poznan,1650216.html","BRUK-BET TERMALICA NIECIECZA","KKS LECH POZNAÑ","Mecz ogl¹da³o 4381 osób","4381"
6,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,wisla-krakow-sa,1650219.html","ZAG£ÊBIE LUBIN","WIS£A KRAKÓW SA","Mecz ogl¹da³o 8191 osób","8191"
